trade_num,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,duration_bars,entry_adx,volume_ratio,tp_level,sl_level,result
33,2025-10-07 15:00:00,121817.0,2025-10-07 16:00:00,120851.95621871471,SL,-965.0437812852906,-0.792207804563641,1,21.427968424470176,4.480877678555819,123425.40630214216,120851.95621871471,LOSS
34,2025-10-07 17:00:00,121110.0,2025-10-08 08:00:00,122801.51359725522,TP,1691.5135972552234,1.3966754167741915,15,25.515821002882973,1.1073217467004492,122801.51359725522,120095.09184164686,WIN
35,2025-10-08 10:00:00,122913.7,2025-10-08 13:00:00,122016.62983695942,SL,-897.070163040582,-0.7298374087189483,3,28.09465990730076,0.6934854516078813,124408.81693840095,122016.62983695942,LOSS
36,2025-10-08 14:00:00,122267.8,2025-10-08 17:00:00,123841.83818923548,TP,1574.038189235478,1.287369355820157,3,22.948427559794606,3.1333373643391123,123841.83818923548,121323.37708645871,WIN
37,2025-10-08 18:00:00,123408.0,2025-10-09 01:00:00,122415.1185205734,SL,-992.8814794266073,-0.8045519572690646,7,20.778013360350922,0.9368441053171116,125062.802465711,122415.1185205734,LOSS
38,2025-10-09 08:00:00,121191.7,2025-10-09 11:00:00,122484.68667150859,TP,1292.9866715085955,1.0668937489189405,3,20.442683008456303,1.44594092651003,122484.68667150859,120415.90799709484,WIN
39,2025-10-09 12:00:00,123503.0,2025-10-09 13:00:00,122685.24322378763,SL,-817.7567762123654,-0.6621351515447927,1,20.056239015468694,2.319633989253321,124865.92796035395,122685.24322378763,LOSS
40,2025-10-09 16:00:00,119750.1,2025-10-09 22:00:00,121560.2552706078,TP,1810.1552706077928,1.511610654694896,6,20.451277024994965,2.757048516696023,121560.2552706078,118664.00683763533,WIN
41,2025-10-10 02:00:00,121040.4,2025-10-10 13:00:00,122471.99173000721,TP,1431.5917300072178,1.1827387632618678,11,21.631920493537887,0.7046150128464751,122471.99173000721,120181.44496199567,WIN
42,2025-10-10 17:00:00,117584.6,2025-10-10 19:00:00,116577.06013878854,SL,-1007.5398612114659,-0.8568637910163965,2,21.751746304926424,2.5418981490781083,119263.83310201911,116577.06013878854,LOSS
43,2025-10-10 20:00:00,114225.1,2025-10-10 21:00:00,112849.88746534928,SL,-1375.2125346507237,-1.2039495125420976,1,29.607159419707134,3.7000518695381652,116517.12089108455,112849.88746534928,LOSS
44,2025-10-10 22:00:00,113513.3,2025-10-11 07:00:00,110905.26919206137,SL,-2608.0308079386305,-2.2975552714427567,9,37.681750926030645,2.220500710222877,117860.01801323106,110905.26919206137,LOSS
45,2025-10-11 19:00:00,111125.5,2025-10-11 20:00:00,109730.337738097,SL,-1395.162261902995,-1.255483450605842,1,61.70875770418185,1.0763029910499924,113450.77043650499,109730.337738097,LOSS
46,2025-10-11 21:00:00,110834.3,2025-10-12 15:00:00,113276.24236617012,TP,2441.942366170115,2.2032370540257977,18,63.24295136414637,1.061085782826448,113276.24236617012,109369.13458029793,WIN
47,2025-10-12 16:00:00,114039.9,2025-10-14 04:00:00,112764.02681572107,SL,-1275.8731842789275,-1.118795425354571,36,38.88225338929846,2.9572044844398997,116166.35530713153,112764.02681572107,LOSS
48,2025-10-14 05:00:00,112425.3,2025-10-14 06:00:00,111477.15929270069,SL,-948.140707299317,-0.843351725367259,1,23.935886172859277,2.015537533309341,114005.53451216553,111477.15929270069,LOSS
49,2025-10-14 07:00:00,111659.1,2025-10-14 10:00:00,110658.84541054294,SL,-1000.2545894570649,-0.8958110798466626,3,27.91874701980236,1.1650026816321342,113326.19098242844,110658.84541054294,LOSS
50,2025-10-14 11:00:00,111245.8,2025-10-14 13:00:00,110187.69077026544,SL,-1058.1092297345604,-0.9511453283940251,2,35.60891624049835,1.4443751085450183,113009.31538289094,110187.69077026544,LOSS
51,2025-10-14 14:00:00,111382.3,2025-10-14 18:00:00,113266.72765896918,TP,1884.4276589691726,1.6918555811553295,4,38.813933283323856,1.6626956186211763,113266.72765896918,110251.6434046185,WIN
52,2025-10-14 19:00:00,112544.7,2025-10-15 13:00:00,111274.74084029536,SL,-1269.9591597046383,-1.1284042337885642,18,32.94602008550524,1.2303829041046404,114661.29859950772,111274.74084029536,LOSS
53,2025-10-15 14:00:00,111003.1,2025-10-16 09:00:00,109915.27425634347,SL,-1087.8257436565327,-0.9799958232306419,19,21.10419165382937,2.348640720171105,112816.14290609422,109915.27425634347,LOSS
54,2025-10-16 10:00:00,111424.7,2025-10-16 14:00:00,110356.2481739303,SL,-1068.4518260696932,-0.9589003390358629,4,25.600478979387127,1.1731770995317587,113205.4530434495,110356.2481739303,LOSS
55,2025-10-16 15:00:00,108463.5,2025-10-17 06:00:00,107230.80369270078,SL,-1232.696307299222,-1.1365079564085818,15,29.927999624201334,4.068354629223137,110517.9938454987,107230.80369270078,LOSS
56,2025-10-17 07:00:00,105561.6,2025-10-17 10:00:00,104383.46032621637,SL,-1178.139673783633,-1.116068412930112,3,46.68942630691257,2.0708757683701746,107525.16612297273,104383.46032621637,LOSS
57,2025-10-17 11:00:00,105628.3,2025-10-19 09:00:00,107844.56107971222,TP,2216.261079712218,2.098169789452465,46,51.343618160429166,2.28042153229166,107844.56107971222,104298.54335217268,WIN
58,2025-10-19 19:00:00,108852.3,2025-10-20 00:00:00,108112.54561180293,SL,-739.7543881970778,-0.6795946325406792,5,21.85708316239627,0.8658491057927942,110085.22398032846,108112.54561180293,LOSS
59,2025-10-20 01:00:00,108005.4,2025-10-20 03:00:00,109233.85429080427,TP,1228.4542908042786,1.1374008066302967,2,21.430518904618058,0.6841843569736811,109233.85429080427,107268.32742551743,WIN
60,2025-10-20 04:00:00,110380.2,2025-10-21 01:00:00,109500.75234470182,SL,-879.4476552981796,-0.7967440313554239,21,22.944109733855328,1.0900196369214847,111845.94609216362,109500.75234470182,LOSS
61,2025-10-21 02:00:00,109472.2,2025-10-21 04:00:00,108651.49504459769,SL,-820.7049554023106,-0.749692575286064,2,22.02322148519166,1.0286648100339855,110840.04159233718,108651.49504459769,LOSS
62,2025-10-21 05:00:00,107494.8,2025-10-21 12:00:00,108926.53308249445,TP,1431.733082494451,1.3319091551353657,7,26.176852320938995,1.7237871075656184,108926.53308249445,106635.76015050334,WIN
63,2025-10-21 13:00:00,108389.5,2025-10-21 14:00:00,109888.955841294,TP,1499.455841293995,1.383395846732382,1,25.764809793758868,2.6232886063554637,109888.955841294,107489.8264952236,WIN
64,2025-10-21 15:00:00,113400.0,2025-10-21 17:00:00,112148.5486616979,SL,-1251.4513383020967,-1.1035726087320077,2,28.073868289906283,2.7930964714799096,115485.7522305035,112148.5486616979,LOSS
65,2025-10-21 18:00:00,111949.4,2025-10-21 20:00:00,110643.63791900521,SL,-1305.762080994784,-1.1663859574010973,2,30.148078547388387,0.8477097090751575,114125.6701349913,110643.63791900521,LOSS
