sl_multiplier,tp_multiplier,min_adx,rsi_min,rsi_max,volume_mult,disabled_scenarios,profit_factor,win_rate,total_trades,roi,sharpe,avg_win,avg_loss,total_pnl,score
1.0,3.0,25,35,65,1.0,"SCN_024,SCN_023",2.0433485945793874,40.625,64,0.07201625643774606,0.31384287641289044,0.5424631258038667,0.18164251650344226,7.201625643769728,0.8540884848040055
1.0,3.0,20,35,65,1.0,"SCN_024,SCN_023",2.041103518331284,40.54054054054054,74,0.08308986986439777,0.3135026068627529,0.5429976389851167,0.18138504961623791,8.30898698643903,0.8528322464120827
1.0,2.5,20,40,65,0.8,"SCN_024,SCN_023",1.9400635846895826,43.66197183098591,71,0.06785359831870665,0.30259209168317935,0.4517206287180666,0.18044949145958858,6.785359831876524,0.8524092930226531
1.0,2.5,25,35,65,1.0,"SCN_024,SCN_023",1.934302584129336,43.75,64,0.06111811540242343,0.3013583288689204,0.4519067047141293,0.18171044977104378,6.111811540238042,0.8515636577749984
1.0,2.0,25,35,65,0.8,"SCN_024,SCN_023",1.8109291886869086,47.674418604651166,86,0.06626751706589856,0.28264428044711104,0.3609403024443456,0.18159557096945342,6.626751706592766,0.8510528729386732
1.2,3.5,25,35,65,1.0,"SCN_024,SCN_023",2.016466963383769,40.98360655737705,61,0.07971983758108762,0.3098150862167822,0.632592792877571,0.21785655732849105,7.971983758113592,0.8500136582846929
1.2,3.5,20,40,70,0.8,"SCN_024,SCN_023",2.0168808955320636,40.78947368421053,76,0.0987678570774915,0.30981227147302365,0.6319229109442238,0.2158405451448127,9.876785707754363,0.8485567103433364
1.0,2.5,25,40,65,0.8,"SCN_024,SCN_023",1.9269455683850096,43.54838709677419,62,0.058572601079631574,0.29920096033072097,0.4509682438379874,0.18053949930467408,5.857260107962068,0.8478745561191492
1.2,3.5,20,35,65,1.0,"SCN_024,SCN_023",2.0099390431916957,40.845070422535215,71,0.09228051402193159,0.3085150931143089,0.6332857731364199,0.21755323854182185,9.228051402199656,0.8471655223107288
1.0,2.0,28,40,65,0.8,"SCN_024,SCN_023",1.8011207336223007,47.540983606557376,61,0.046376588445018574,0.2793033326905825,0.3595387083552344,0.18090511555637828,4.63765884449769,0.8471399288127597
